sample_id,name,height_mm
35,shell_height10_mm,45
99,shell_height1_mm,47
99,shell_height2_mm,46
99,shell_height3_mm,46
99,shell_height4_mm,47
99,shell_height5_mm,43
99,shell_height6_mm,NA
99,shell_height7_mm,NA
99,shell_height8_mm,NA
99,shell_height9_mm,NA
99,shell_height10_mm,NA
16,shell_height1_mm,45
16,shell_height2_mm,41
16,shell_height3_mm,43
16,shell_height4_mm,47
16,shell_height5_mm,43
16,shell_height6_mm,40
16,shell_height7_mm,38
16,shell_height8_mm,40
16,shell_height9_mm,41
16,shell_height10_mm,42
61,shell_height1_mm,40
61,shell_height2_mm,39
61,shell_height3_mm,38
61,shell_height4_mm,44
61,shell_height5_mm,40
61,shell_height6_mm,43
61,shell_height7_mm,47
61,shell_height8_mm,37
61,shell_height9_mm,45
61,shell_height10_mm,39
5,shell_height1_mm,8
5,shell_height2_mm,16
5,shell_height3_mm,48
5,shell_height4_mm,49
5,shell_height5_mm,48
5,shell_height6_mm,35
5,shell_height7_mm,17
5,shell_height8_mm,31
5,shell_height9_mm,46
5,shell_height10_mm,34
24,shell_height1_mm,44
24,shell_height2_mm,47
24,shell_height3_mm,49
24,shell_height4_mm,42
24,shell_height5_mm,46
24,shell_height6_mm,15
24,shell_height7_mm,39
24,shell_height8_mm,44
24,shell_height9_mm,46
24,shell_height10_mm,35
13,shell_height1_mm,41
13,shell_height2_mm,50
13,shell_height3_mm,42
13,shell_height4_mm,44
13,shell_height5_mm,40
13,shell_height6_mm,48
13,shell_height7_mm,39
13,shell_height8_mm,43
13,shell_height9_mm,43
13,shell_height10_mm,18
18,shell_height1_mm,38
18,shell_height2_mm,44
18,shell_height3_mm,43
18,shell_height4_mm,18
18,shell_height5_mm,43
18,shell_height6_mm,41
18,shell_height7_mm,48
18,shell_height8_mm,44
18,shell_height9_mm,43
18,shell_height10_mm,13
91,shell_height1_mm,43
91,shell_height2_mm,43
91,shell_height3_mm,46
91,shell_height4_mm,40
91,shell_height5_mm,43
91,shell_height6_mm,14
91,shell_height7_mm,NA
91,shell_height8_mm,NA
91,shell_height9_mm,NA
91,shell_height10_mm,NA
