standard_station_id,year,index
PB,2024,NA
PEN1,2014,NA
PEN1,2015,NA
PEN1,2016,NA
PEN1,2017,NA
PEN1,2018,NA
PEN1,2019,NA
PEN1,2020,0.03
PEN1,2021,NA
PEN1,2022,NA
PEN1,2023,NA
PEN1,2024,0
PEN2,2014,NA
PEN2,2015,NA
PEN2,2016,NA
PEN2,2017,NA
PEN2,2018,NA
PEN2,2019,NA
PEN2,2020,NA
PEN2,2021,NA
PEN2,2022,NA
PEN2,2023,NA
PEN2,2024,0
PGH,2014,5.55
PGH,2015,4.47
PGH,2016,NA
PGH,2017,7.81
PGH,2018,0.65
PGH,2019,NA
PGH,2020,NA
PGH,2021,NA
PGH,2022,NA
PGH,2023,NA
PGH,2024,NA
PGK,2014,NA
PGK,2015,4.76
PGK,2016,5.57
PGK,2017,5.83
PGK,2018,0.37
PGK,2019,4.9
PGK,2020,1.11
PGK,2021,6.07
PGK,2022,1.08
PGK,2023,0.37
PGK,2024,1.63
PGS,2014,7.37
PGS,2015,NA
PGS,2016,NA
PGS,2017,NA
PGS,2018,NA
PGS,2019,NA
PGS,2020,NA
PGS,2021,NA
PGS,2022,NA
PGS,2023,NA
PGS,2024,NA
PGT,2014,NA
PGT,2015,NA
PGT,2016,NA
PGT,2017,NA
PGT,2018,NA
PGT,2019,1.57
PGT,2020,0.33
PGT,2021,NA
PGT,2022,NA
PGT,2023,NA
PGT,2024,NA
PMD,2014,NA
PMD,2015,NA
PMD,2016,NA
PMD,2017,NA
PMD,2018,NA
PMD,2019,NA
PMD,2020,NA
PMD,2021,1.73
PMD,2022,0.2
PMD,2023,0.5
PMD,2024,2.5
POR,2014,NA
POR,2015,NA
POR,2016,NA
POR,2017,NA
POR,2018,NA
POR,2019,NA
POR,2020,NA
POR,2021,0
POR,2022,0
POR,2023,0
POR,2024,0
QB1,2014,NA
QB1,2015,NA
QB1,2016,NA
QB1,2017,NA
QB1,2018,0.15
QB1,2019,1
QB1,2020,1.19
QB1,2021,NA
QB1,2022,NA
QB1,2023,NA
QB1,2024,NA
QB2,2014,NA
QB2,2015,NA
QB2,2016,NA
QB2,2017,NA
QB2,2018,3.41
QB2,2019,1.55
QB2,2020,0.89
QB2,2021,2.87
QB2,2022,1.55
QB2,2023,NA
QB2,2024,NA
QB3,2014,NA
QB3,2015,NA
QB3,2016,NA
QB3,2017,NA
QB3,2018,1.1
QB3,2019,3.47
QB3,2020,0.5
QB3,2021,25.31
QB3,2022,1.6
QB3,2023,4.17
QB3,2024,7.8
QB4,2014,NA
QB4,2015,NA
QB4,2016,NA
QB4,2017,NA
QB4,2018,2.6
QB4,2019,6.03
QB4,2020,0.55
QB4,2021,0.13
QB4,2022,NA
QB4,2023,NA
QB4,2024,NA
QB5,2014,NA
QB5,2015,NA
QB5,2016,2.37
QB5,2017,0.74
QB5,2018,0.17
QB5,2019,0.03
QB5,2020,0
QB5,2021,NA
QB5,2022,NA
QB5,2023,NA
QB5,2024,NA
